12:04:51.682810|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.682947|   DEBUG|            Ptr:137 |byte is \016 (0x0e)
12:04:51.683077|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.683208|   DEBUG|            Ptr:137 |byte is \004 (0x04)
12:04:51.683337|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.683467|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.683596|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.683725|   DEBUG|            Ptr:137 |byte is \017 (0x0f)
12:04:51.683855|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.683985|   DEBUG|            Ptr:137 |byte is \005 (0x05)
12:04:51.684114|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.684244|   DEBUG|            Ptr:137 |byte is \221 (0x91)
12:04:51.684374|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.684504|   DEBUG|            Ptr:137 |byte is \020 (0x10)
12:04:51.684634|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.684764|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.684894|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.685024|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.685153|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.685283|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.685412|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.685542|   DEBUG|            Ptr:137 |byte is \021 (0x11)
12:04:51.685671|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.685801|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.685930|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.686179|   DEBUG|            Ptr:137 |byte is \020 (0x10)
12:04:51.686313|   DEBUG|            Ptr:137 |byte is \010 (0x08)
12:04:51.686445|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.686575|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.686705|   DEBUG|            Ptr:137 |byte is \011 (0x09)
12:04:51.686836|   DEBUG|            Ptr:137 |byte is \170 (0x78)
12:04:51.686966|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.687096|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.687226|   DEBUG|            Ptr:137 |byte is \022 (0x12)
12:04:51.687356|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.687486|   DEBUG|            Ptr:137 |byte is \030 (0x18)
12:04:51.687616|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.687746|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.687876|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.688005|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.688134|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.688263|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.688393|   DEBUG|            Ptr:137 |byte is \220 (0x90)
12:04:51.688522|   DEBUG|            Ptr:137 |byte is \214 (0x8c)
12:04:51.688652|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.688782|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.688912|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.689043|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.689173|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.689303|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.689551|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.689683|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.689814|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.689945|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.690075|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.690205|   DEBUG|            Ptr:137 |byte is \376 (0xfe)
12:04:51.690334|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.690468|   DEBUG|            Ptr:137 |byte is \376 (0xfe)
12:04:51.690599|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.690729|   DEBUG|            Ptr:137 |byte is \157 (0x6f)
12:04:51.690859|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.690989|   DEBUG|            Ptr:137 |byte is \334 (0xdc)
12:04:51.691119|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.691248|   DEBUG|            Ptr:137 |byte is \177 (0x7f)
12:04:51.691379|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.691509|   DEBUG|            Ptr:137 |byte is \217 (0x8f)
12:04:51.691639|   DEBUG|            Ptr:137 |byte is \121 (0x51)
12:04:51.691768|   DEBUG|            Ptr:137 |byte is \103 (0x43)
12:04:51.691898|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.692028|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.692158|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.692286|   DEBUG|            Ptr:106 |GOT EOF ON READ
12:04:51.692340|   DEBUG|            Ptr:137 |byte is \377 (0xff)
